data,group
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",6c
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",6d
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7a
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7b
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7c
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7d
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7e
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7f
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7g
"['7 - 8', '13:55-15:25', '6a, 6b, 6c, 6d, 7a, 7b, 7c, 7d, 7e, 7f, 7g, 7h', 'GTS', '<span class=""substMonitorSubstElem"">G02</span> (Halle2)', '<span class=""substMonitorSubstElem"">Nu</span>', '', 'Volleyball-Schulmannschaft (Rav): Betreuung im Q-Raum soweit notwendig']",7h
"['3', '09:50-10:35', '8c', 'FöEs', 'H105', '<span class=""substMonitorSubstElem"">Vol</span>', '', 'Schüler aus dem Förderkurs gehen in den Klassenunterricht']",8c
"['1 - 2', '08:00-09:30', '9a', 'Ges7-10', 'H014', 'Dar', 'Entfall', '']",9a
"['8', '14:40-15:25', '9c', 'Ges7-10', 'H009', 'Dar', 'Entfall', '']",9c
"['1 - 2', '08:00-09:30', '9g', 'M5-10', 'H215', '<span class=""substMonitorSubstElem"">Bl</span>', '', '']",9g
